Gene	z-score (Schneider et al. [Huh7.5])	z-score (Wei et al. [Vero E6])	Rank
SLC38A4	0.818023804	0.947258342	0.882641073
PACSIN2	1.202115663	0.563116847	0.882616255
PYGO1	0.884558715	0.878785521	0.881672118
CYLC1	1.291632669	0.470699419	0.881166044
GNL1	1.125579573	0.636177443	0.880878508
FCER1G	0.889107432	0.872388305	0.880747868
TAS2R3	0.947500635	0.81330507	0.880402853
TRIL	1.029411277	0.730417654	0.879914465
DOLPP1	1.389828793	0.369607921	0.879718357
UBE2E2	0.68712257	1.071696627	0.879409599
PRR18	0.971501212	0.78680413	0.879152671
TMPRSS9	0.802029502	0.956105302	0.879067402
CDH6	0.926625307	0.831464884	0.879045096
NPSR1	1.335763454	0.420765295	0.878264375
IL12RB2	0.851996232	0.902531345	0.877263789
ZNF672	1.040373799	0.713695246	0.877034522
EIF2D	1.278907693	0.474066342	0.876487017
MSX2	1.318876641	0.43273943	0.875808035
KANK4	1.153124436	0.598098632	0.875611534
FAM47B	0.572129787	1.177500675	0.874815231
PRLHR	1.289795476	0.457069426	0.873432451
CADM3	0.919282311	0.827268558	0.873275434
MCF2	0.920406834	0.825920795	0.873163814
PIK3IP1	1.364615194	0.381602181	0.873108688
SPAG16	0.929281406	0.815855094	0.87256825
NTF3	1.413988641	0.330688416	0.872338529
PDZD4	0.752014264	0.992480796	0.87224753
CD2	0.808719463	0.935172278	0.871945871
MS4A13	0.406455827	1.336217636	0.871336731
NCKAP5	1.316147005	0.425523715	0.87083536
TBC1D22A	1.18000267	0.561158499	0.870580584
SLC25A21	1.058092438	0.681625738	0.869859088
ANXA10	0.848377305	0.890791151	0.869584228
SERPINA4	0.694152846	1.044477957	0.869315402
KLHL7	1.388603285	0.349041644	0.868822464
TP73	0.579409477	1.157843308	0.868626392
ETNK2	0.822270381	0.914315832	0.868293106
EFCAB7	1.036299553	0.696980111	0.866639832
WDR47	1.014797065	0.718379413	0.866588239
CHRDL2	1.071913777	0.65919502	0.865554399
TNKS	1.363390556	0.367582708	0.865486632
ABHD5	1.213789068	0.517088678	0.865438873
PRSS16	0.904667785	0.825815867	0.865241826
HIST1H2AL	1.290967721	0.43802147	0.864494596
SWT1	0.454541228	1.272943733	0.86374248
L3MBTL2	1.149779877	0.576660184	0.86322003
CLDN16	0.567286019	1.158727019	0.863006519
UNC80	1.136636955	0.588964531	0.862800743
LEAP2	0.730343828	0.994549072	0.86244645
ZIC2	1.351414777	0.371872215	0.861643496
DNMT3L	0.356888036	1.365447096	0.861167566
PAQR3	1.048175135	0.67352787	0.860851502
TMEM145	0.652473351	1.066310177	0.859391764
SMIM22	0.992687824	0.725850674	0.859269249
SLC2A8	0.68855375	1.029556331	0.85905504
TSPEAR	1.188697794	0.528775375	0.858736585
NEUROD6	1.239633687	0.475230322	0.857432004
CROCC	1.228659608	0.483828824	0.856244216
TMEM241	0.933779821	0.778137522	0.855958672
TMPRSS2	0.788012765	0.923443043	0.855727904
ZNF596	0.892406501	0.817992663	0.855199582
PCSK1N	0.915422993	0.791077326	0.853250159
IPO8	1.248940386	0.455463381	0.852201884
TMEM232	0.484909678	1.219147486	0.852028582
PNMA5	1.221504946	0.480615497	0.851060222
GPR65	1.021916474	0.680157524	0.851036999
DZIP1	1.239651602	0.461506484	0.850579043
ZNF449	0.90884055	0.792138354	0.850489452
SAV1	1.063197221	0.637737567	0.850467394
HDDC2	0.941895663	0.758847633	0.850371648
SLC22A18AS	0.465826866	1.234015116	0.849920991
BTN1A1	1.206540721	0.491329554	0.848935138
VASH2	0.84676895	0.850490567	0.848629759
FAM120AOS	0.770756373	0.925057497	0.847906935
TUBAL3	1.24145573	0.454021539	0.847738634
MGME1	1.284165613	0.411240866	0.84770324
HPS4	1.355797614	0.339216195	0.847506905
ATG9A	1.241470858	0.45269982	0.847085339
NR1H3	1.104485921	0.589447781	0.846966851
PNOC	1.211479591	0.481584113	0.846531852
KHDRBS1	0.946882953	0.74571733	0.846300141
OTOA	1.077660765	0.61388386	0.845772313
CPA4	1.001460008	0.689352626	0.845406317
KCNE4	1.004113721	0.686690913	0.845402317
WRAP73	1.230763305	0.459696333	0.845229819
ERICH4	0.845468363	0.84463457	0.845051466
STX11	0.59996221	1.089196359	0.844579285
DCUN1D5	0.828739566	0.857186269	0.842962918
PRR14L	1.191152734	0.492986265	0.8420695
CD80	1.319594595	0.364015393	0.841804994
PKD1L1	0.904437048	0.778512459	0.841474753
FAM13A	1.341839209	0.340868266	0.841353738
GABRE	1.259124617	0.423386585	0.841255601
TOX2	0.718662646	0.962910369	0.840786508
DUSP22	0.86969403	0.8112811	0.840487565
CHRM2	0.875091962	0.805807576	0.840449769
KCNAB1	0.381339283	1.299037669	0.840188476
S100A4	1.15615516	0.523832089	0.839993625
CTSE	1.267173804	0.411619607	0.839396706
AJUBA	1.120657124	0.557281981	0.838969553
CABLES2	0.694519715	0.981808231	0.838163973
EMID1	1.311677036	0.364095892	0.837886464
URAD	0.972490057	0.703035895	0.837762976
HADH	0.715237842	0.958863374	0.837050608
BCORL1	0.411418058	1.262618905	0.837018482
KIF13A	0.623238647	1.050505051	0.836871849
STK17A	0.328099101	1.345548102	0.836823602
SNX27	0.736390096	0.93574644	0.836068268
GPM6A	1.144839187	0.525310375	0.835074781
FOXP4	0.687326192	0.982575208	0.8349507
LOX	1.34747121	0.322288714	0.834879962
GPBP1L1	0.595403358	1.073591891	0.834497625
EED	0.438917852	1.229489669	0.83420376
RLN2	1.015050242	0.653138262	0.834094252
TIMD4	0.67104421	0.996293482	0.833668846
TMOD2	1.186834457	0.480439317	0.833636887
LY6G5B	0.387081965	1.276931215	0.83200659
PLEKHA6	1.346164376	0.317749263	0.83195682
ABCB6	1.180551354	0.483224954	0.831888154
KIAA0825	0.357245795	1.306324336	0.831785066
TMEM140	1.067643299	0.595657939	0.831650619
LURAP1L	1.063782731	0.599196538	0.831489634
INPP5K	0.630096696	1.031769576	0.830933136
LDB3	0.777585237	0.883078763	0.830332
RYR2	0.852053889	0.807908459	0.829981174
USP9Y	1.080593096	0.578393812	0.829493454
AGBL3	0.63894336	1.019328178	0.829135769
RFPL4B	1.184169004	0.47405149	0.829110247
SYTL2	1.033712479	0.623418215	0.828565347
ACER3	0.340545859	1.315536782	0.82804132
CTNND2	0.605736848	1.049902099	0.827819474
HTRA1	1.038648586	0.616978146	0.827813366
GABPB2	1.286455675	0.367274185	0.82686493
FRMPD4	0.468850138	1.18459395	0.826722044
IL12B	0.919871046	0.733277388	0.826574217
ANO5	1.24122376	0.411587994	0.826405877
GPHN	0.332731738	1.31715221	0.824941974
TNIP3	0.37886321	1.269467386	0.824165298
UPB1	1.108436554	0.537663807	0.823050181
CALML5	0.541534402	1.102559534	0.822046968
FAM71B	0.699202551	0.944457444	0.821829997
REN	0.852905978	0.789344762	0.82112537
SLCO1B7	1.076605095	0.565557228	0.821081161
DIO3	0.782699231	0.857931177	0.820315204
PHACTR3	0.882676687	0.757300466	0.819988576
ITIH1	1.13664083	0.502851651	0.81974624
FRZB	0.414457378	1.224801003	0.81962919
ENPP6	0.752029776	0.885703852	0.818866814
MB21D2	0.756293674	0.881132519	0.818713096
FAM189B	0.894066697	0.742525055	0.818295876
LZTS2	0.316863379	1.319422305	0.818142842
NUTM1	1.092387848	0.54386913	0.818128489
MOXD1	1.190667153	0.444979171	0.817823162
WDR27	0.945086863	0.689599665	0.817343264
C2CD2L	0.728066926	0.906493858	0.817280392
MPC1L	1.124932317	0.509170438	0.817051377
RD3	0.913705021	0.719942481	0.816823751
BSPH1	1.078522473	0.554320136	0.816421304
SPACA7	1.035793357	0.596121535	0.815957446
SCGN	0.399256594	1.231350592	0.815303593
SS18	0.775859018	0.85449851	0.815178764
EVX1	0.772306101	0.857567993	0.814937047
EHF	0.983096134	0.646697962	0.814897048
RIMKLA	0.617860982	1.011839677	0.81485033
PDHA1	1.141688476	0.486543011	0.814115743
ZNF653	0.689601275	0.93852024	0.814060757
ETS2	0.518463387	1.108123952	0.81329367
CHRNA5	0.848943216	0.777107481	0.813025349
FABP2	0.767676835	0.856845354	0.812261094
SYT5	0.7766087	0.847427733	0.812018216
TMEM52	1.282463356	0.340860821	0.811662088
THRSP	0.954628008	0.667594597	0.811111303
NAP1L3	1.100000214	0.522205455	0.811102834
GOSR1	0.648973432	0.972982426	0.810977929
ZDHHC16	0.770129672	0.851636899	0.810883285
SYNE2	0.877776184	0.742551242	0.810163713
FBXL19	0.954415267	0.665419496	0.809917382
HMGB2	0.791602393	0.828082757	0.809842575
ACSM4	0.748630277	0.870731175	0.809680726
SMIM21	0.662515253	0.954861448	0.808688351
OCIAD1	0.62880297	0.987826816	0.808314893
ZNF182	0.654306239	0.96159693	0.807951585
RNLS	0.850661473	0.762391097	0.806526285
GPR183	0.528483359	1.084268852	0.806376105
SLC27A6	0.752346777	0.860225899	0.806286338
ODF2L	0.324753111	1.283578377	0.804165744
LMO4	1.203402299	0.404219108	0.803810704
PLEKHA7	0.734225521	0.871471824	0.802848673
ARHGEF26	1.165676627	0.43940547	0.802541049
NHLH2	0.781787758	0.822293535	0.802040647
COL4A2	1.002872473	0.601095098	0.801983786
SPINT4	0.823700198	0.77989463	0.801797414
HSD11B1L	0.800169396	0.800195962	0.800182679
OLFML1	0.458123457	1.140738691	0.799431074
FXR2	0.59076981	1.007898689	0.799334249
JOSD1	1.154874691	0.443407109	0.7991409
ZBTB44	0.855606644	0.742389666	0.798998155
PIP5K1B	0.869585881	0.728143368	0.798864624
MUC16	1.092455594	0.50402849	0.798242042
AGR2	0.97165205	0.624788054	0.798220052
SRY	0.856179908	0.738760306	0.797470107
BNIP3	0.727457499	0.867445596	0.797451548
FAM43A	0.640511146	0.952633311	0.796572228
PFKFB1	0.833401272	0.756680737	0.795041005
NXNL1	0.521412575	1.068608946	0.795010761
LUZP6	1.047531527	0.539997081	0.793764304
SMAD1	0.88235852	0.702234575	0.792296547
PCP4L1	1.087069753	0.497375136	0.792222444
CCR6	1.145908796	0.43823855	0.792073673
RRAGB	1.01343251	0.568172381	0.790802445
PDGFRB	0.73191484	0.849611482	0.790763161
SLITRK6	1.164822651	0.416330874	0.790576763
PRAMEF12	0.87200232	0.708894212	0.790448266
ALDH9A1	0.870810583	0.710017417	0.790414
DPT	0.741477653	0.838685496	0.790081575
MGRN1	0.506208336	1.073763843	0.78998609
MYBPH	0.879130159	0.700300759	0.789715459
ALPP	1.250955414	0.327433886	0.78919465
TULP4	1.270522577	0.306859045	0.788690811
GSAP	1.134281528	0.442835556	0.788558542
MEGF10	1.134712184	0.442166181	0.788439183
ARHGEF9	0.725270157	0.850817783	0.78804397
CABP7	1.077887832	0.497572213	0.787730023
KHDC3L	1.210402	0.364854424	0.787628212
CYP51A1	0.564759113	1.009802464	0.787280788
PPIF	0.787888114	0.782802673	0.785345394
GEM	0.617327255	0.953220787	0.785274021
JAG1	0.855368485	0.714668595	0.78501854
FKBP14	1.169519799	0.400450925	0.784985362
PER1	1.256430329	0.310496187	0.783463258
TIGD1	0.613846118	0.952777069	0.783311593
FICD	0.703058099	0.861156223	0.782107161
SNX20	0.416685547	1.146776927	0.781731237
RNF148	0.708882606	0.853419537	0.781151071
PTPRE	1.107032984	0.455194663	0.781113824
STRA8	1.20099495	0.360602247	0.780798599
SEC23IP	0.934134808	0.627419009	0.780776908
DMRT1	0.594497551	0.966856243	0.780676897
ZNF438	1.209460711	0.351073748	0.78026723
GBP3	1.122751195	0.434856338	0.778803767
PHF10	0.753973979	0.803580369	0.778777174
MIR1-1HG	1.241658382	0.315332298	0.77849534
DNAJB14	0.910856944	0.644845592	0.777851268
RCOR3	0.989596252	0.56560682	0.777601536
MLST8	0.793777341	0.760209806	0.776993574
BANF2	0.485265714	1.068188882	0.776727298
KIF7	1.053456509	0.499527621	0.776492065
WWC2	0.612387588	0.939205061	0.775796325
ZC4H2	0.90616412	0.64488705	0.775525585
ACTL10	0.303455666	1.247493159	0.775474413
CHD5	0.925748506	0.624242678	0.774995592
CCDC154	1.013613718	0.536219565	0.774916642
CPT1B	1.198100379	0.350139064	0.774119722
ABCC9	0.675850559	0.872202913	0.774026736
ERMP1	0.970527816	0.576836775	0.773682296
SLC28A2	0.462871638	1.083786411	0.773329025
C1GALT1	0.876214989	0.670342497	0.773278743
TBC1D31	0.910768654	0.635750793	0.773259724
SLC6A18	1.246123181	0.300392615	0.773257898
RYR1	1.154285355	0.391994052	0.773139704
SGSM1	1.117835977	0.42765194	0.772743958
EVL	0.678273276	0.865822035	0.772047655
TUBB1	0.745435562	0.798283579	0.771859571
AASS	1.066163673	0.477456287	0.77180998
MIXL1	0.944822021	0.597316851	0.771069436
WT1	0.854923756	0.684898538	0.769911147
ZNF562	0.972030106	0.566528252	0.769279179
ETV6	0.758351853	0.780030702	0.769191278
CADPS2	0.815829472	0.722470145	0.769149808
ARL8B	0.444476762	1.09367908	0.769077921
BRWD3	0.635287891	0.902541125	0.768914508
LRRC27	0.981749758	0.554695662	0.76822271
KDM4D	0.965719748	0.568427644	0.767073696
PPARD	0.354849159	1.178130458	0.766489808
CLEC4F	0.789362404	0.743489692	0.766426048
FGF3	0.383163345	1.149238323	0.766200834
PLEKHH1	0.393075566	1.139094494	0.76608503
PDZD3	1.144373579	0.387593906	0.765983743
CLCN1	0.990927897	0.540355864	0.76564188
SLC6A3	1.188747663	0.342213401	0.765480532
LDHAL6A	0.642718	0.887852604	0.765285302
ZNF354B	0.709284566	0.81957726	0.764430913
CCL25	0.556138155	0.971744894	0.763941525
NEK9	0.860085302	0.667305293	0.763695298
SLC25A32	0.893904777	0.633451584	0.76367818
GLRX2	0.743449343	0.782305448	0.762877396
TRAF5	0.412136011	1.113526199	0.762831105
BDKRB1	0.701011089	0.823433625	0.762222357
LDHAL6B	0.943697901	0.57845941	0.761078655
NGB	0.47506805	1.046834715	0.760951382
P2RY4	0.728745085	0.792656918	0.760701002
PCYT1B	0.889159028	0.631590462	0.760374745
SYNJ1	0.500066048	1.020681017	0.760373532
ZNF292	0.520102945	0.999636297	0.759869621
CCDC181	1.094023121	0.424961845	0.759492483
C1GALT1C1	0.902059789	0.615767235	0.758913512
ADCK5	0.974088817	0.543662889	0.758875853
MYO16	0.670569827	0.845837377	0.758203602
ZCCHC7	0.952393575	0.563828125	0.75811085
TNFSF9	1.135872082	0.379949935	0.757911009
CD48	0.485474714	1.030272704	0.757873709
OSBPL3	1.080775224	0.433915004	0.757345114
TMEM245	0.789417845	0.723022833	0.756220339
CD53	0.932745377	0.577432964	0.75508917
MTFP1	1.153881532	0.354540039	0.754210785
TMEM251	0.728807651	0.778888077	0.753847864
HM13	1.0594235	0.447757339	0.753590419
SAXO1	1.119133809	0.38791997	0.753526889
MLLT3	0.67986731	0.827171655	0.753519482
CALM1	0.816329756	0.689471017	0.752900387
IGSF8	1.193274173	0.311940404	0.752607288
MPZL2	1.040560828	0.463654866	0.752107847
NFIB	0.858153017	0.64589546	0.752024239
ZNF347	0.702842769	0.801010681	0.751926725
PLXNB1	0.656801993	0.846268711	0.751535352
ZNF518B	0.711617409	0.791423941	0.751520675
FAM199X	0.848436941	0.652955902	0.750696422
IQCA1	0.603022723	0.897966374	0.750494548
CACNA1F	0.627092232	0.873360045	0.750226139
ITGA8	0.551952549	0.948024042	0.749988296
ZMYND15	0.71150681	0.787852858	0.749679834
CTBP2	1.007037506	0.491818446	0.749427976
PACSIN1	0.872267503	0.625917665	0.749092584
CNST	0.947608298	0.549937295	0.748772797
FSHB	0.85759631	0.639778131	0.74868722
RBFOX2	1.000846616	0.495591991	0.748219304
NEK7	0.318294024	1.177943815	0.748118919
PABPC4L	0.619373355	0.876795813	0.748084584
PNPLA5	1.023992377	0.471680146	0.747836261
ADAM15	0.339601177	1.155676582	0.74763888
SRD5A1	0.998216385	0.496970871	0.747593628
GRID1	1.181968786	0.312975889	0.747472338
NNAT	0.948946833	0.545966827	0.74745683
NPPA	0.698677013	0.796002388	0.7473397
DENND4B	0.976129307	0.517886494	0.7470079
IPCEF1	1.052444904	0.441094298	0.746769601
ADAM19	0.658122382	0.835025477	0.746573929
KRT76	0.455928987	1.036334951	0.746131969
TRPC5OS	0.686722466	0.805367028	0.746044747
BAG2	0.833619747	0.658258741	0.745939244
G0S2	0.745240177	0.745935351	0.745587764
SLC28A1	1.097641688	0.393041137	0.745341413
CTHRC1	0.754792558	0.735681915	0.745237236
PCBP3	0.51667104	0.973757739	0.74521439
RNF19B	0.634233854	0.855198694	0.744716274
CD163L1	0.581779412	0.906273184	0.744026298
CLDN2	0.725753249	0.762152954	0.743953101
HRH1	0.52349287	0.963907947	0.743700408
IRX2	0.917695506	0.569654875	0.74367519
TNFRSF1B	0.867718857	0.618873673	0.743296265
CTSO	0.534231554	0.952089475	0.743160515
PTER	0.77530515	0.710740204	0.743022677
CTSA	0.757254084	0.728516599	0.742885341
CHRNA10	0.938145365	0.547345627	0.742745496
FAM155B	0.990065861	0.495189742	0.742627801
OLFML3	0.850054019	0.634366925	0.742210472
MTMR1	0.736956379	0.747043711	0.742000045
EIF3E	0.729484729	0.752228406	0.740856568
HELB	0.655573749	0.825166553	0.740370151
CHST15	0.734866528	0.745746794	0.740306661
GRIN2B	0.517841939	0.962176746	0.740009342
MZT2B	0.978524198	0.501048902	0.73978655
AGT	1.075418119	0.403711588	0.739564853
SPRYD7	0.961755617	0.517263021	0.739509319
KCND3	0.681385678	0.797620959	0.739503318
NDNF	0.519745891	0.959208165	0.739477028
ITPKB	1.132630219	0.346175586	0.739402902
MYLK4	0.459542973	1.018980238	0.739261606
APOBEC2	0.929011217	0.54875894	0.738885079
ANKRD24	1.023840606	0.453014105	0.738427356
CEBPB	1.008736239	0.467835118	0.738285678
PAK4	1.014194156	0.461923488	0.738058822
ITGA11	0.721658438	0.754267178	0.737962808
MXRA5	0.62048258	0.853964425	0.737223502
CYFIP2	0.840914376	0.633472024	0.7371932
SH2D4B	0.361028248	1.113045164	0.737036706
ETV7	0.479204046	0.994714257	0.736959152
RHOU	0.943877549	0.529592765	0.736735157
TRMT2B	0.871083342	0.602274686	0.736679014
IL22RA1	0.613090827	0.859847826	0.736469327
ASTE1	0.68733902	0.785422993	0.736381007
ATP2B4	0.766941466	0.705720561	0.736331013
PLXNB2	1.008381374	0.462980266	0.73568082
CARD16	0.958341163	0.511961747	0.735151455
APBA2	1.132086982	0.336925228	0.734506105
CD164L2	0.48153722	0.987400092	0.734468656
FAM83F	0.913127647	0.555232309	0.734179978
BRSK1	0.763848839	0.702369993	0.733109416
CFAP58	0.891910122	0.573773746	0.732841934
ACOT8	0.877506508	0.58804918	0.732777844
KCNK9	0.395018316	1.067907212	0.731462764
SCEL	0.948232569	0.51466018	0.731446375
DESI1	0.485259772	0.976969599	0.731114686
PRSS38	1.054934036	0.406581301	0.730757668
ETFDH	0.448017252	1.013111748	0.7305645
BDH2	0.820129423	0.640719932	0.730424678
CSRP1	0.582096529	0.878639093	0.730367811
CCSAP	0.480484251	0.979772069	0.73012816
WSCD1	0.406524	1.053005079	0.72976454
CCDC169	0.973643014	0.484708666	0.72917584
TNK2	0.713239917	0.745061931	0.729150924
LSM14B	0.509973275	0.948116057	0.729044666
LPAR6	0.999663714	0.457795006	0.72872936
RNF128	0.760550874	0.696875647	0.72871326
ZNF410	0.819227201	0.638032849	0.728630025
PRRX1	0.944030199	0.513113194	0.728571697
LACTB	1.109447253	0.346987112	0.728217183
IZUMO1R	1.046544677	0.4091886	0.727866639
NXF3	0.564676271	0.890300809	0.72748854
STAR	0.755161655	0.699719962	0.727440809
PANK1	0.761343863	0.69321567	0.727279766
MFAP2	0.645059996	0.809279031	0.727169514
ZDHHC19	1.071350591	0.382593939	0.726972265
LRTM2	1.139676124	0.314125323	0.726900724
CPA2	0.385488878	1.068241251	0.726865065
FAM124A	0.569714397	0.883478603	0.7265965
UBE2D1	0.381862757	1.070840853	0.726351805
PI3	0.554464914	0.895941699	0.725203306
GCNT1	0.42327396	1.026761213	0.725017586
TNFRSF18	0.589019526	0.860589659	0.724804592
CCDC158	1.044299305	0.404863828	0.724581566
UPF3A	0.919372695	0.527616901	0.723494798
TCAP	0.496341428	0.950624609	0.723483019
GGT7	0.476555843	0.969712519	0.723134181
KDM5C	0.892884285	0.553240831	0.723062558
CRIP2	0.750820715	0.694307425	0.72256407
ANKRD22	0.417110151	1.027998159	0.722554155
LHX1	0.764610707	0.67873005	0.721670379
UVRAG	0.678698004	0.764274028	0.721486016
IER3	0.375509613	1.066501236	0.721005425
MRAP	0.987506141	0.453405552	0.720455846
MYCT1	0.515396848	0.924165812	0.71978133
SEC31A	0.513583335	0.924871896	0.719227616
FBXO6	0.39059697	1.047447961	0.719022466
CELF2	0.620206306	0.81739027	0.718798288
CT62	0.804311126	0.633236738	0.718773932
SHISA9	0.390647922	1.045541403	0.718094662
CBS	0.673299257	0.762578443	0.71793885
ENTPD8	1.073440835	0.361168275	0.717304555
RBBP6	0.746819537	0.687744037	0.717281787
RASSF1	0.862252707	0.571077832	0.716665269
CD70	0.727752926	0.703347451	0.715550189
ZNF880	0.988479386	0.442617884	0.715548635
NPFFR2	0.77525152	0.65420443	0.714727975
MAFF	0.756754424	0.671207255	0.71398084
EBF3	0.585839041	0.841455606	0.713647324
SV2B	0.750595636	0.676590136	0.713592886
GPR37	0.580231058	0.846642132	0.713436595
ZNF620	0.64809861	0.778396697	0.713247654
PBX3	0.629489735	0.795681148	0.712585442
ZNF695	0.542152268	0.882753466	0.712452867
CPA3	0.979276621	0.444475476	0.711876048
PRSS12	0.881043148	0.541373835	0.711208491
UBR1	0.350667109	1.071686079	0.711176594
CD247	0.634076588	0.788181287	0.711128938
TSTD2	0.728556574	0.692648363	0.710602469
ATF5	0.703660374	0.71724628	0.710453327
PLB1	0.764648517	0.655754941	0.710201729
BTC	0.419830253	0.998111392	0.708970822
TRIP6	0.842006176	0.57437451	0.708190343
SFTPD	0.852310543	0.562134742	0.707222642
TMEM45B	0.41629942	0.996747937	0.706523679
PADI1	0.88526571	0.527734898	0.706500304
LRP1B	1.039938081	0.372831697	0.706384889
ELN	0.836840948	0.574862199	0.705851574
TCN2	0.905570364	0.505636031	0.705603198
LENEP	0.715220938	0.695732009	0.705476473
GATA4	0.543858146	0.866468016	0.705163081
ERN1	0.927461827	0.48281751	0.705139668
PFN4	0.945481941	0.4645133	0.70499762
STOML3	0.417680046	0.992241872	0.704960959
NRXN1	0.431182573	0.97668625	0.703934412
ZNF684	0.609803123	0.797690278	0.703746701
SCN1A	0.626709405	0.780772281	0.703740843
CD244	0.859177108	0.547433039	0.703305074
AVPR1B	0.648947146	0.756927895	0.70293752
C5AR2	0.465261806	0.94035022	0.702806013
FGF17	0.650283926	0.754816613	0.702550269
MAGEB4	0.460513378	0.942931437	0.701722408
BRICD5	0.329879604	1.072090366	0.700984985
GARNL3	0.566774958	0.834836534	0.700805746
DSG3	0.998312431	0.403036654	0.700674543
CPT1A	0.307012867	1.094044492	0.700528679
MED13L	0.913557028	0.487183253	0.700370141
ADORA1	1.092633613	0.306364114	0.699498864
PHEX	1.019513828	0.379222682	0.699368255
ARHGAP26	0.599089129	0.798432631	0.69876088
SLC35G1	0.903968131	0.49286467	0.698416401
ANO9	0.960521229	0.435956888	0.698239059
LAMC2	0.639933085	0.755784435	0.69785876
KMT2E	0.98414242	0.411339446	0.697740933
CD58	0.426277063	0.969160704	0.697718883
SLC35F5	0.685947775	0.709425838	0.697686806
TECTB	0.54981202	0.845475766	0.697643893
SLC6A11	0.847217246	0.547741064	0.697479155
ARHGEF33	0.622333093	0.772511911	0.697422502
ANGPTL4	0.766733489	0.627307257	0.697020373
TMEM100	0.59814538	0.795850679	0.69699803
ECM2	1.030115024	0.363342596	0.69672881
ASTN2	0.925168961	0.468208643	0.696688802
ZNF829	0.652511965	0.740765117	0.696638541
DESI2	0.611677334	0.781029155	0.696353245
FAM98B	0.564237894	0.828444773	0.696341333
IZUMO3	0.837286701	0.554152432	0.695719566
MSRB1	0.955939883	0.435176256	0.695558069
TMEM99	0.788587935	0.602346282	0.695467108
RASAL3	0.567939056	0.822711246	0.695325151
IFFO2	0.950917764	0.439345732	0.695131748
PBXIP1	0.884748682	0.503925294	0.694336988
INO80D	0.480449268	0.906701114	0.693575191
CHN2	0.81564021	0.569079683	0.692359947
SLC12A9	1.008763941	0.375575343	0.692169642
REPS1	0.616055561	0.76674544	0.691400501
KLK15	0.56552944	0.816121175	0.690825308
HSPBP1	0.749259446	0.631733153	0.6904963
TPBG	0.507912207	0.873077535	0.690494871
SLC5A12	0.45014797	0.930090443	0.690119206
VGLL3	0.923868874	0.456269751	0.690069312
PDE4D	0.917919374	0.461892332	0.689905853
PPP1R9A	0.649070801	0.72980204	0.68943642
ADIPOQ	0.718045987	0.660815873	0.68943093
KBTBD13	0.69601075	0.682401524	0.689206137
AUH	0.482697228	0.895431715	0.689064472
EQTN	0.8992893	0.478682183	0.688985741
TNNT2	1.038646234	0.338607477	0.688626856
GIMAP4	0.893259335	0.483943488	0.688601411
KLK4	0.920016321	0.457173442	0.688594882
CLIC6	0.723794273	0.653308504	0.688551389
BLOC1S6	0.579247488	0.797640163	0.688443825
LDOC1	0.647023126	0.729595999	0.688309563
OSR1	1.046777315	0.329653078	0.688215197
CAV1	0.938171952	0.438027488	0.68809972
SAP30	1.010233977	0.365709314	0.687971645
CDC42EP5	0.542227481	0.833549832	0.687888657
DAAM1	0.800155367	0.57556443	0.687859898
ZNF416	1.049567295	0.325848491	0.687707893
THSD1	0.468989368	0.906008232	0.6874988
ARAP1	0.739231272	0.635654521	0.687442896
MID1	0.821606048	0.552662456	0.687134252
IFIT5	0.420885369	0.953268364	0.687076867
VAV2	0.887761572	0.48630222	0.687031896
ARHGEF10L	0.381848656	0.991168591	0.686508624
PLEKHN1	0.803694455	0.569210847	0.686452651
LRRC72	0.535230118	0.837662134	0.686446126
SGCB	0.750072437	0.622570035	0.686321236
C1QL1	0.888526554	0.48391224	0.686219397
SLC37A2	0.393724948	0.977984994	0.685854971
FAM120B	0.786405501	0.584402198	0.68540385
CYP39A1	0.620730262	0.750000489	0.685365375
KLHL4	0.519899122	0.850469729	0.685184426
FOXH1	0.415649704	0.954565576	0.68510764
CDH1	0.533987422	0.835731633	0.684859528
IFT74	0.648263717	0.721328006	0.684795861
BIRC3	0.320519546	1.047254267	0.683886906
OBSCN	1.03493218	0.332389401	0.683660791
SYNGR4	0.392303579	0.974788666	0.683546123
PLP1	0.570603727	0.796461858	0.683532793
NAV1	0.622585848	0.742961031	0.682773439
SLC8A3	1.03352921	0.331363412	0.682446311
ADAM23	0.976765674	0.387417698	0.682091686
TMEM203	0.715427626	0.648277091	0.681852358
RWDD1	0.386542142	0.976169127	0.681355635
TTR	0.615236382	0.747202755	0.681219568
GLA	0.766970534	0.595102561	0.681036548
CHSY1	0.505423283	0.855936531	0.680679907
CXCL5	0.406042727	0.954910637	0.680476682
KCNJ13	0.61914052	0.741397125	0.680268822
DYNC1LI2	1.043249887	0.315571824	0.679410856
MIOX	0.353585188	1.005052306	0.679318747
SPTSSB	0.66629035	0.692115095	0.679202723
LRIT3	0.875923953	0.482115152	0.679019553
CLK1	0.680058382	0.676626922	0.678342652
GATA1	0.356128717	0.999784549	0.677956633
ZNF732	0.903241739	0.451423452	0.677332596
ADRB1	0.473567776	0.880600648	0.677084212
SP6	0.455174314	0.89896106	0.677067687
SPATA22	1.007903182	0.345725785	0.676814483
TYMP	0.486079146	0.866627991	0.676353568
GMEB2	0.350149614	1.002417146	0.67628338
TIMM17B	0.604617984	0.746067356	0.67534267
DLGAP3	0.564314602	0.786032387	0.675173495
RPE65	0.782625498	0.567618278	0.675121888
ARHGAP6	0.603927389	0.74623868	0.675083034
